"Name","State","decoder.configs.num_retrieval_heads","Notes","User","Tags","Created","Runtime","Sweep","EM","MC1","MC2","MC3","Subspan_EM","all_acc","hate_speech_ending_acc","history_of_science_qa_acc","macro_avg_acc","micro_avg_acc","proverb_ending_acc","proverb_translation_acc","data.data_dir","data.name","data_loader.batch_size","data_loader.drop_last","data_loader.num_workers","data_loader.pin_memory","debug","decoder.configs.retrieval_heads_dir","decoder.method","decoder.name","model.configs.max_new_tokens","model.configs.max_seq_len","model.configs.model_name_or_path","model.model_type","model.name","random_seed","wandb_entity","wandb_project","org_EM","org_Subspan_EM","sub_EM","sub_Subspan_EM"
"LLaMA3-8b-Instruct__Baseline","finished","","-","","","2024-07-12T09:45:28.000Z","8441","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","","baseline","Baseline","32","4096","meta-llama/Meta-Llama-3-8B-Instruct","instruct","LLaMA3-8b-Instruct","1234","aryopg","DeCoRe","0.0002107037505267594","0.0031605562579013905","0.0006321112515802782","0.08280657395701643"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","100","-","","","2024-07-12T05:38:23.000Z","10845","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.00695322376738306","0.008217446270543615","0.06300042140750105","0.06637168141592921"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","90","-","","","2024-07-12T02:44:27.000Z","10413","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.04804045512010114","0.05120101137800253","0.13421828908554573","0.1369574378423936"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","80","-","","","2024-07-11T23:06:54.000Z","13036","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.08048883270122208","0.09081331647703328","0.22229245680573115","0.22987779182469448"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","70","-","","","2024-07-11T22:52:27.000Z","13025","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.05351875263379688","0.05920775389801938","0.23830594184576487","0.2437842393594606"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","60","-","","","2024-07-11T22:52:11.000Z","13000","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.05604719764011799","0.06447534766118837","0.2334597555836494","0.24083438685208597"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","50","-","","","2024-07-11T22:40:23.000Z","12880","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.035398230088495575","0.039401601348504005","0.2890855457227139","0.29329962073324906"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","40","-","","","2024-07-11T19:41:44.000Z","11192","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.0606826801517067","0.0632111251580278","0.3105773282764433","0.31458069953645174"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","30","-","","","2024-07-11T19:41:36.000Z","11278","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.051833122629582805","0.05520438263801096","0.4047619047619048","0.41002949852507375"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","20","-","","","2024-07-11T19:41:31.000Z","11077","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.02359882005899705","0.025705857564264644","0.4294142435735357","0.4306784660766962"
"LLaMA3-8b__BaselineMaskedRetrievalHead","finished","10","-","","","2024-07-11T19:41:25.000Z","10949","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.01643489254108723","0.018331226295828063","0.30151706700379266","0.3023598820058997"
"LLaMA3-8b__BaselineMaskedNonRetrievalHead","finished","-10","-","","","2024-07-11T23:23:46.000Z","11478","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_non_retrieval_head","BaselineMaskedNonRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.010745891276864728","0.01327433628318584","0.6146228402865571","0.621786767804467"
"LLaMA3-8b__BaselineMaskedNonRetrievalHead","finished","-20","-","","","2024-07-12T02:35:20.000Z","8242","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_non_retrieval_head","BaselineMaskedNonRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.03750526759376317","0.04024441635061104","0.4329962073324905","0.4388959123472398"
"LLaMA3-8b__BaselineMaskedNonRetrievalHead","finished","-30","-","","","2024-07-12T04:53:12.000Z","8340","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_non_retrieval_head","BaselineMaskedNonRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.044669195111672985","0.04698693636746734","0.39085545722713866","0.3975979772439949"
"LLaMA3-8b__BaselineMaskedNonRetrievalHead","finished","-40","-","","","2024-07-12T07:12:35.000Z","8546","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_non_retrieval_head","BaselineMaskedNonRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.08428150021070376","0.09186683522966708","0.2292456805731142","0.2437842393594606"
"LLaMA3-8b__BaselineMaskedNonRetrievalHead","finished","-50","-","","","2024-07-12T09:35:27.000Z","11924","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_non_retrieval_head","BaselineMaskedNonRetrievalHead","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.04509060261272651","0.055836493889591235","0.07184997892962494","0.08322798145806995"
"LLaMA3-8b__Baseline","finished","","-","","","2024-07-11T19:41:11.000Z","10624","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","","baseline","Baseline","32","4096","meta-llama/Meta-Llama-3-8B","base","LLaMA3-8b","1234","aryopg","DeCoRe","0.008849557522123894","0.011167298777918246","0.7020648967551623","0.7088074167720185"
"LLaMA2-7b__BaselineMaskedRetrievalHead","finished","50","-","","","2024-07-11T22:46:44.000Z","12562","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.0943952802359882","0.0986093552465234","0.13105773282764432","0.1369574378423936"
"LLaMA2-7b__BaselineMaskedRetrievalHead","finished","40","-","","","2024-07-11T22:46:02.000Z","12473","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.09734513274336284","0.10345554150863884","0.11736198904340496","0.12305099030762748"
"LLaMA2-7b__BaselineMaskedRetrievalHead","finished","30","-","","","2024-07-11T22:41:22.000Z","12271","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.0876527602191319","0.09186683522966708","0.13864306784660768","0.1458069953645175"
"LLaMA2-7b__BaselineMaskedRetrievalHead","finished","20","-","","","2024-07-11T22:40:58.000Z","12348","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.08954909397387273","0.09397387273493468","0.1748841129372103","0.18120522545301307"
"LLaMA2-7b__BaselineMaskedRetrievalHead","finished","10","-","","","2024-07-11T19:42:32.000Z","10618","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","./retrieval_heads/","baseline_masked_retrieval_head","BaselineMaskedRetrievalHead","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.12684365781710916","0.12937210282343026","0.31879477454698696","0.32616940581542353"
"LLaMA2-7b__Baseline","finished","","-","","","2024-07-11T19:42:15.000Z","10329","","","","","","","","","","","","","","data/NQ-Swap/data","NQSwap","1","false","8","false","false","","baseline","Baseline","32","4096","meta-llama/Llama-2-7b-hf","base","LLaMA2-7b","1234","aryopg","DeCoRe","0.02781289506953224","0.030973451327433628","0.6868942267172355","0.6974294142435735"
